paper,type,subsection,main_content,context,outcome
yeast,Q2.4,A complete gene-based pangenome,"Among the 2,199 novel genes, 1,233 (56.1%) showed highest similarity to close Saccharomyces relatives, ",,"suggesting introgression,"
yeast,Q2.4,A complete gene-based pangenome,"Among the 2,199 novel genes, ... 358 (16.3%) were most similar to non-Saccharomyces species, ",,which is indicative of horizontal gene transfers (HGTs)
yeast,Q2.4,A complete gene-based pangenome,"Among the 2,199 novel genes, ... The remaining 92 genes (4.2%) lacked significant similarity ",and may represent de novo gene birth51.,and may represent de novo gene birth51.
yeast,Q2.3,A complete gene-based pangenome,"Enrichment analyses showed widespread introgression across clades, with notably high levels in Alpechín, Mexican agave, and French Guiana isolates, ... (Fig. 3f and Supplementary Table 10).","confirming past hybridization events19,53,54",N/A
yeast,Q2.4,A complete gene-based pangenome,"HGTs were also identified in wine isolates, ... and partially shared with the Mixed Origins 1 clade, ","consistent with previous reports19,55,",suggesting post-acquisition intraspecific gene flow.
yeast,Q2.4,Complexity differs across trait types,"SV-QTL make up 18.6% and 41.1% of the total QTL for molecular and organismal traits, respectively, both enriched relative to the 7.4% frequency of SVs among common variants (two-sided Fisher’s exact test, P = 2.4 × 10−118 and 2.6 × 10−33). However, the enrichment is stronger for organismal traits (5.6-fold) than for molecular traits (2.5-fold), ... (Fig. 5c and Supplementary Fig. 10).",,suggesting that SVs have a more prominent role in shaping complex organismal phenotypes
yeast,Q1.1,Diversity with a graph pangenome,"To facilitate SV genotyping in other S. cerevisiae collections and capture the full spectrum of structural diversity, ",,"we constructed a reference graph pangenome using 500 haplotypes, including the linear reference genome."
crispr,Q1.1,Scalable characterization of SpCas9 PAM variants,"To generate datasets necessary to train a machine learning model to link protein sequence to function (PAM specificity), ","structure–function-informed approach based on SpCas9 structures10 and previous engineering efforts3,14,42,43 ... These six  amino acids modulate specificity for the 3rd and 4th PAM bases in the context of the engineered enzymes SpCas9-VRER, SpCas9-VRQR and SpG3,14,42 (Supplementary Note3). ... the residue that contacts the second guanine of the SpCas9 PAM10, largely abrogated enzyme activity (Supplementary Note 3) ...","we sought to engineer and characterize a sufficiently large collection of novel SpCas9 enzymes with altered PAM preferences. We generated a saturation mutagenesis library of SpCas9 variant enzymes using a structure–function-informed approach based on SpCas9 structures10 and previous engineering efforts3,14,42,43, simultaneously mutating six amino acid residues within the SpCas9 PI domain,... We selected residues D1135, S1136, G1218, E1219, R1335 and T1337 for saturation mutagenesis, and individual enzymes within the library are hereafter named according to amino acid identities at these six positions. Expansion of our library to also mutate R1333, ... . We therefore focused our efforts on altering the 3rd and 4th positions of the PAM."
crispr,Q1.1,Scalable characterization of SpCas9 PAM variants,"To identify SpCas9 PAM variant enzymes with activity on noncanonical PAMs, ","bacterial-based positive selection assays14,44","we performed an extensive set of bacterial-based positive selection assays14,44 to select for enzymes that are capable of cleaving target sites bearing each of the 16 possible NGNN PAMs, which have a fixed G nucleotide at the second position and that vary at the third and fourth positions (Extended Data Fig.2b,c and Supplementary Note 4)."
crispr,Q1.1,Scalable characterization of SpCas9 PAM variants,"Next, we linked amino acid sequence to PAM specificity for the 634 recovered SpCas9 enzymes. To identify the amino acid substitutions in the SpCas9 enzymes,",multiplex PCR45 ... high-throughput PAM determination assay46 ...,"we performed an arrayed plasmid sequencing method for rapid and inexpensive whole open reading frame identification based on multiplex PCR45 (Supplementary Fig. 1). The PAM specificities of each of the 634 SpCas9 enzymes were then characterized using a high-throughput PAM determination assay46 (HT-PAMDA; Fig. 1c,d, Supplementary Table1 and Supplementary Fig.2)."
crispr,Q2.4,Scalable characterization of SpCas9 PAM variants,"We selected residues D1135, S1136, G1218, E1219, R1335 and T1337 for saturation mutagenesis ...  rationally design more optimal PAM-selective enzymes by testing ‘consensus’ enzymes for each of the 16 NGNN PAMs, assessed by combining the most enriched amino acids at each of the six positions recovered from each selection (Extended Data Fig. 2c). ... When assessing the PAM requirements of the consensus enzymes using HT-PAMDA (Supplementary Fig.6a), most enzymes did not efficiently target the PAM for which they were designed, with only 4 of 31 consensus enzymes exhibiting maximal efficiency against their intended PAMs (Fig. 1e and Supplementary Fig.6b). The rationally designed consensus enzymes generally had weaker efficiencies than the enzymes obtained directly from bacterial selections (Fig. 1e and Supplementary Fig.6a). ",,"These results indicate that mutations at these six positions do not contribute to PAM preference independently, but rather interact with one another in an epistatic manner;"
crispr,Q1.1,Scalable characterization of SpCas9 PAM variants,"To approximate the fraction of the 64 million enzymes encoded with our SpCas9(6AA) library that retained editing activity on any PAM, ",,we performed HT-PAMDA on 135 randomly chosen library members.
crispr,Q2.4,Scalable characterization of SpCas9 PAM variants,"resulting in a library with theoretical complexity of 64 million enzymes (the SpCas9(6AA) library)... Unexpectedly, we found that approximately 18% of the enzymes in the SpCas9(6AA) library were capable of editing on at least one PAM, many of them with non-canonical PAM preferences (Fig. 1f). ",,"This observation suggested that among the millions of possible combinations of residues in our six-position library, more than 10 million enzymes may be functional, the vast majority of which remain uncharacterized."
crispr,Q1.1,Learning PAM preference from amino acid sequence,We therefore sought to explore the entire fitness landscape of our SpCas9(6AA) library via machine learning.,"Georgiev47, a physiochemical descriptor that can improve performance of some machine learning models  for protein engineering25","We utilized our two HT-PAMDA datasets as training data for a machine learning model, including functional enzymes derived from our bacterial selections on the 16 NGNN PAMs and random (non-selected) enzymes from the SpCas9(6AA) library. We reasoned that including some inactive enzymes in our training set would provide information about combinations of amino acids that lead to non-functional enzymes. To account for the imbalanced nature of our training data towards NGG-targeting enzymes and relaxed variants that are most active on NGTG PAMs (Fig. 1f), we assigned a label to each training example based on its most active PAM and randomly oversampled to balance across PAM classes. We trained machine learning models to predict the rate constant k on each of the 64 PAMs (positions 2–4) when provided with a 6AA sequence as an input (Fig. 2a), and compared the ability of different machine learning models to extrapolate to amino acid combinations not encountered in the training set. Linear regression, random forest and neural network models were tested in combination with different feature encodings as inputs to the model (one-hot encoding of each amino acid substitution; one-hot encoding of all single plus pairwise amino acid combinations; and Georgiev47, a physiochemical descriptor that can improve performance of some machine learning models  for protein engineering25; Extended Data Fig.3a). Model architectures and amino acid encoding were compared using an internal fivefold cross-validation (Extended Data Fig.3a)."
crispr,Q2.3,Learning PAM preference from amino acid sequence,"When predicting the impact of the single E1219V mutation, PAMmla produced a predicted PAM profile remarkably similar to the experimental data for xCas9 (Fig. 2i), supporting previous evidence that",the single E1219V mutation was the major contributor to the altered PAM of xCas9 (ref. 3).,
crispr,Q1.1,Machine learning-assisted prediction of PAM variant enzymes,... to discover novel PAM variant enzymes by predicting the PAM profiles for each of the 64 million possible enzymes in the SpCas9(6AA) library (Supplementary Fig. 7).,,"We then utilized PAMmla ... The resulting enzymes were sorted by their predicted PAM profiles on activity alone (kPAM) or selectivity (kPAM/sum(kall_PAMs)) for each of the 16 NGNN PAMs (Fig. 3a). Among the top predicted enzymes for each criterion and PAM, we chose between 3 and 10 enzymes to experimentally validate PAMmla predictions using HT-PAMDA (for 281 enzymes; Fig. 3b, Supplementary Table2 and Supplementary Fig.8a–c)."
crispr,Q1.1,Machine learning-assisted prediction of PAM variant enzymes,We investigated potential functional roles of the amino acid substitutions in PAMmla-predicted enzymes (Supplementary Note 6).,(SHAP)48 ,"Using shapely additive explanations (SHAP)48 analysis of machine learning feature importance (Extended Data Fig. 4) and structural modelling (Extended Data Fig.5),"
crispr,Q1.2,Specificity of PAMmla-predicted enzymes,"...PAMmla-predicted enzymes with altered PAM requirements should encounter fewer potential off-targets due to their more limited targeting ranges. To test this hypothesis,","SpCas9 enzymes with relaxed PAM requirements are more prone to off-target editing as they search a larger fraction of the genome and thus encounter a larger number of potential off-target sites3,6,21. ... GUIDE-seq2 (ref. 53)","we utilized a cell-based unbiased genome-wide off-target assay, GUIDE-seq2 (ref. 53), to identify nuclease-cleaved off-target sites."
crispr,Q1.2,Specificity of PAMmla-predicted enzymes,"To verify the on-target and off-target benefits of PAMmla versus generalist enzymes in human patient-derived cells, ","Patients with X-CGD are highly susceptible to invasive infections and hyperinflammation that results in substantial morbidity and early mortality. CYBB mutations may be correctable through ex vivo editing of haematopoietic stem cells54,55. ","we sought to correct a CYBB mutation in cells from an individual with X-linked chronic granulomatous disease (X-CGD). ... Using patient-derived Epstein–Barr virus-transformed B cells harbouring the CYBBT362I mutation,"
crispr,Q1.1,PAMmla-enabled allele-specific editing in vivo,... to investigate specificity improvements with the allele-selective PAMmla enzymes.,,we performed off-target analyses via GUIDE-seq2
crispr,Q1.1,PAMmla-enabled allele-specific editing in vivo,"To examine potential structural determinants of the PAM-selective preferences of MRRWMR and KRHWMR, ",,we modelled their mutations and investigated their contributions to PAMmla-predicted rates on NGTG and NGGG PAMs using SHAP (Fig. 5h–k and Extended Data Fig.11a–e).
crispr,Q1.1,PAMmla-enabled allele-specific editing in vivo,We assessed the in vivo editing efficiency and allele specificity of MRRWMR and KRHWMR in mouse retinas.,,Subretinal plasmid injections in humanized heterozygous WT-hRHO–GFP/P23H-hRHO–RFP mice at postnatal days 0–2 (P0–P2) were performed before in vivo electroporation.
mechanical,Q1.1,Tumour gene expression altered by TME,To study the influence of the local microenvironment on tumour invasion,,"we applied spatially resolved transcriptomics and single-cell
RNA sequencing (scRNA-seq) to a transgenic zebrafish model of
BRAFV600E-driven melanoma (Fig. 1a)"
mechanical,Q2.3,Tumour gene expression altered by TME,"Tumours from this model fre-
quently invade into adjacent tissues, including the underlying dermis
and muscle. Across fish, we found a conserved ‘interface’ transcrip-
tional cell state that occurs where tumour cells invade into the micro-
environment6 (12.1% of zebrafish tumour cells; Fig. 1a).","‘interface’ transcrip-
tional cell state that occurs where tumour cells invade into the micro-
environment6",N/A
mechanical,Q1.1,Tumour gene expression altered by TME,"To investigate whether these interface cells occur in patients, ","recently published human melanoma scRNA-seq dataset
of 7,186 tumour and stromal cells from 31 patients with untreated
or immunotherapy-resistant melanoma7","we
analysed a recently published human melanoma scRNA-seq dataset
of 7,186 tumour and stromal cells from 31 patients with untreated
or immunotherapy-resistant melanoma7 (Fig. 1b and Extended Data
Fig. 1a). We scored tumour cells for the relative expression of inter-
face genes from our zebrafish transcriptomic datasets."
mechanical,Q1.1,Tumour gene expression altered by TME,"a subpopulation of human tumour cells highly upregulated interface markers ... mostly from immunotherapy-resistant patients. To better understand the nature of these
cells","A previous study defined at least four cell states that encompass
the melanoma differentiation trajectory (melanocytic, transitory, neu-
ral crest-like and undifferentiated)2 ","we compared our interface population to human melanoma cell
states...We scored tumour and interface
cells for the relative expression of gene modules encompassing the
entire melanoma cell differentiation trajectory and classified cells into
each of the four states on the basis of their expression of gene mod-
ules annotated for that state2."
mechanical,Q2.3,Tumour gene expression altered by TME,"Interface cells downregulated MITF
and SOX10 and upregulated SOX9 (Fig. 1f and Extended Data Fig. 1g).
Classical melanocyte pigmentation genes were minimally expressed
by interface cells relative to the tumour bulk, including MITF (log2 fold
change (FC) = −5.19), TYRP1 (log2FC = −7.75) and PMEL (log2FC = −8.78)
(Fig. 1f, Extended Data Fig. 1g and Supplementary Table 1)... Unexpect-
edly, interface cells also upregulated genes involved in neuronal
development, including SOX11 (log2FC = 5.15), NNAT (log2FC = 8.61),
NEUROD1 (log2FC = 6.22) and NEFM (log2FC = 6.19) (Fig. 1g and Sup-
plementary Table 1). Gene set enrichment analysis (GSEA) revealed that
transcriptional programs linked to cell fate specification and neuronal
development were highly enriched in interface cells (Fig. 1h,i).","Melanoma behaviour is regulated by phenotype switching, in which
cells transition between differentiated/proliferative and undifferen-
tiated/invasive states. The transition between the proliferative and
invasive states is regulated by the transcription factors MITF, SOX9
and SOX10, among others8. MITF and SOX10 regulate melanocyte dif-
ferentiation and proliferation9,10, whereas SOX9 is associated with the
undifferentiated invasive state11.","These
data indicate that interface cells adopt an invasive state with markers
of neuronal development."
mechanical,Q1.1,Confinement induces a neuronal state,"To examine factors within the local TME that may drive the interface
state",,"we performed histology on tissue sections from our transgenic
zebrafish melanoma model, focusing on the invasive front."
mechanical,Q2.4,Confinement induces a neuronal state,"Tumour
cells invading into the TME showed elongated nuclei compared with
the bulk tumour mass (Fig. 1j,k). ","A previous study showed that tumour
nuclei become highly elongated when squeezing through mechanically
restrictive environments12. Although numerous factors probably influ-
ence tumour invasion, ","we hypothesized that mechanical forces exerted
on the cell/nucleus may cause stable changes in gene expression and
tumour cell behaviour."
mechanical,Q1.2,Confinement induces a neuronal state,"we hypothesized that mechanical forces exerted
on the cell/nucleus may cause stable changes in gene expression and
tumour cell behaviour. To test this hypothesis,","a system to confine human mela-
noma cells (A375 cell line) in vitro at predefined heights (3 µm) using a
polydimethylsiloxane piston and micropatterned coverslips13","we adapted a system to confine human mela-
noma cells (A375 cell line) in vitro at predefined heights (3 µm) using a
polydimethylsiloxane piston and micropatterned coverslips13 (Fig. 1l)."
mechanical,Q2.3,Confinement induces a neuronal state,"confined cells did not
upregulate apoptosis markers cleaved caspase-3, annexin V or cleaved
PARP (Extended Data Fig. 2a–f)...Post-confinement, cells recovered typi-
cal morphology within 24 h without widespread cell death (Extended
Data Fig. 2g).",,Confinement in vitro was not cytotoxic
mechanical,Q1.1,Confinement induces a neuronal state,To profile confinement-induced changes in gene expression,,"we confined A375 cells for approximately 18 h and performed
bulk RNA-seq."
mechanical,Q2.4,Confinement induces a neuronal state,"Principal component analysis revealed considerable transcriptional alterations induced by confinement (Fig. 1m and Sup-
plementary Table 2). ... confined cells
upregulated several neuronal pathways (Fig. 1n and Supplementary
Table 2). We calculated the overlap between the human interface gene
signature and the confined melanoma gene signature (Extended Data
Fig. 2h and Supplementary Table 3). Pathway analysis showed that
many of the co-regulated genes were related to neuronal development (Extended Data Fig. 2i and Supplementary Table 3).",Similar to human interface cells,"These data indicate
that confinement causes interface cells to adopt a neuronal identity."
mechanical,Q2.2,Confinement remodels the cytoskeleton,"These data indicate
that confinement causes interface cells to adopt a neuronal identity. ","Neuronal development relies on microtubule (MT) architecture,
influencing almost every aspect of neuronal structure and function14.
The cytoskeleton often transmits force within and between cells and
remodels in response to mechanical stimuli15. Recent reports indicate
that the MT cytoskeleton is stabilized by force to protect confined cells
from damage16.","We hypothesized that melanoma cells hijack neuronal
mechanisms to allow them to invade into the mechanically confined
microenvironment."
mechanical,Q1.2,Confinement remodels the cytoskeleton,"We hypothesized that melanoma cells hijack neuronal
mechanisms to allow them to invade into the mechanically confined
microenvironment.",,"We used our in vitro confinement system to char-
acterize how force remodels the MT cytoskeleton by imaging A375 cells
labelled with the MT vital dye SiR-tubulin."
mechanical,Q2.4,Confinement remodels the cytoskeleton,"Confinement extensively
remodelled the MT cytoskeleton; within 2–4 h, curved MTs began encir-
cling the cell and nuclear periphery (Fig. 2a,b)...We also observed loss of a central
MT organizing centre with radial MTs,","This was reminiscent of a previous study that showed that MTs bend to prevent buckling
or rupture in response to force16...reminiscent of neurons with
centrosome-independent MT organization14,17.","These results indicate
that confined melanoma cells rapidly undergo structural changes in
the MT cytoskeleton resembling neurons."
mechanical,Q1.2,Confinement remodels the cytoskeleton,"These results indicate
that confined melanoma cells rapidly undergo structural changes in
the MT cytoskeleton resembling neurons.","Acetylated tubulin mediates neuronal architecture and function
and marks axonal MTs18. Tubulin acetylation stabilizes MTs and thus
the cell against mechanical pressure19. Curved MTs, such as those we
observed in confined cells (Fig. 2a,b), are also indicative of long-lived,
stabilized MTs19.","We performed immunofluorescence on sections from
adult fish with transgenic BRAFV600E-driven melanomas ... Confining A375 cells in vitro"
mechanical,Q2.4,Confinement remodels the cytoskeleton,"We noticed that in confined cells, the hyperacetylated tubulin net-
work was often perinuclear (Fig. 2f,g) ","As the stiffest and
largest organelle, the nucleus is vulnerable to confinement-induced
stress, with confined migration often causing nuclear envelope rup-
ture and DNA damage20,21. During migration through confined spaces,
neurons assemble a perinuclear network of acetylated tubulin to pro-
tect the nucleus22,23. ","and hypothesized that this net-
work may provide structural support to the nucleus."
mechanical,Q1.2,Confinement remodels the cytoskeleton,"We confirmed the stability of the perinuclear MT
network ","nocodazole, which induces
MT disassembly through an acetylation-independent mechanism24.
Acetylated MTs are resistant to nocodazole19.","by treating confined cells with nocodazole,"
mechanical,Q2.3,Confinement remodels the cytoskeleton,"We generated a stable A375 cell line, in which
the main eukaryotic tubulin acetyltransferase (ATAT1) was inactivated
using CRISPR (Extended Data Fig. 3a,b), and found that this almost
completely abolished acetylated tubulin, including the perinuclear
network (Extended Data Fig. 3c–e). ",,"This indicates that ATAT1 is the
acetyltransferase that responds to mechanical stress in melanoma
cells by stabilizing the tubulin cytoskeleton."
mechanical,Q3.1,Confinement remodels the cytoskeleton,"This indicates that ATAT1 is the
acetyltransferase that responds to mechanical stress in melanoma
cells by stabilizing the tubulin cytoskeleton","In addition to acetylation, MTs exhibit a variety of post-translational
modifications (PTMs), including tyrosination, glutamylation, glycylation
and methylation, which influence MT stability25.","To clarify the composi-
tion of the perinuclear tubulin network"
mechanical,Q1.1,Confinement remodels the cytoskeleton,"To clarify the composi-
tion of the perinuclear tubulin network",,"we used immunofluorescence
to characterize MT PTMs in confined melanoma cells."
mechanical,Q2.3,Confinement remodels the cytoskeleton,"However, most MTs in confined and
unconfined A375 cells were highly tyrosinated (Extended Data Fig. 4a–d), ...
Although confined perinuclear MTs were occasionally
tyrosinated and rarely detyrosinated (Extended Data Fig. 4a–d), there
was no specific enrichment of these PTMs in the perinuclear network,
as observed for acetylated MTs. Similar results were observed for poly-
glutamylated MTs (Extended Data Fig. 4e,f). No polyglycylated MTs
were found in either condition (Extended Data Fig. 4g,h).","Detyrosination
has been linked to stabilized MTs26 ... probably owing to the high concentrations of tyrosine and tyrosinase in melanoma27","This indicates
that acetylation is the primary PTM mediating the assembly and/or
stability of the perinuclear tubulin network."
mechanical,Q1.2,Confined invasive cells upregulate HMGB2,"Our results indicate that confinement induces a neuronal identity in
interface melanoma cells, characterized by changes in cytoskeletal
architecture and gene expression. ",,"We examined our zebrafish and
human transcriptomic datasets to identify potential confinement-
induced mediators of this state. "
mechanical,Q2.3,Confined invasive cells upregulate HMGB5,"In invading tumour cells, HMGB2
was only upregulated in elongated or misshaped tumour cells that
appeared to be under mechanical pressure from adjacent tissues
(Fig. 3e–g), ",,indicating that confinement induces HMGB2 upregulation
mechanical,Q2.3,Confined invasive cells upregulate HMGB7,"Using time-lapse
confocal microscopy of A375 cells stably expressing HMGB2–GFP, we
found nuclear HMGB2–GFP concentrations increased linearly over
approximately 16 h (0.269 ± 0.020-fold per hour) to a final concentra-
tion of 1.76 ± 0.072-fold relative to initial concentrations (Extended
Data Fig. 5a,b). We also examined the concentrations of HMG family
members HMGB1 and HMGA1, which were transcriptionally upregu-
lated in interface cells to a lesser extent than HMGB2, and quantified no
change in their expression upon confinement (Extended Data Fig. 5c–f),",,"indicating that confinement-induced upregulation of HMGB2 is not a
general property of all HMG family members."
mechanical,Q2.3,Confined invasive cells upregulate HMGB9,"As in the zebrafish, the
invasive front in human samples often contained elongated nuclei
with high HMGB2 and acetylated tubulin expression, although with
expected interpatient variability (Extended Data Fig. 6a–e). Of the 40
patient samples analysed, 20 (50%) contained putative interface cells
(elongated nuclei, HMGB2+ and AcTub+), nine (22.5%) contained cells
exhibiting perinuclear acetylated tubulin enrichment only (AcTub+ and
HMGB2−), three (7.5%) contained cells with elongated HMGB2+ nuclei
but no acetylated tubulin (AcTub− and HMGB2+) and the remaining eight (20%) showed no enrichment of HMGB2 or acetylated tubulin
(Extended Data Fig. 6d,e).",,"This validates our scRNA-seq analyses,
indicating that interface cells are present in human samples (Fig. 1c)."
mechanical,Q1.1,Confined invasive cells upregulate HMGB10,"We then investigated whether the upregulation of HMGB2 and acety-
lated tubulin by confined cells is melanoma-specific or exhibited across
other cancer types. ",,"We focused on two cancer types probably influ-
enced by mechanical stress in vivo: pancreatic ductal adenocarcinoma
and bladder cancer."
mechanical,Q1.1,Confined invasive cells upregulate HMGB12,"To rule
out a potential pro-invasive role for these transcription factors upon
mechanical stress in melanoma, ","Mechanical stress can be associated with nuclear translocation of
transcription factors, such as YAP, as well as epithelial–mesenchymal
transition inducers, including Twist, Snail and SMAD3 (ref. 30). ","we quantified their expression in confined
A375 cells."
mechanical,Q2.1,HMGB2 upregulation requires nesprin 2,"To investigate how mechanical confinement induces HMGB2 upregu-
lation,    ",,"we focused on the MT cytoskeleton, hypothesizing that the
perinuclear acetylated tubulin network (Fig. 2f,g) may propagate
confinement-induced force to the nucleus."
mechanical,Q1.2,HMGB2 upregulation requires nesprin 2,"To confirm that the perinu-
clear network is upstream of HMGB2 enrichment in the confinement
response,",,"we generated stable A375 cell lines in which HMGB2 was inac-
tivated using CRISPR (Extended Data Fig. 8a–c)."
mechanical,Q1.1,HMGB2 upregulation requires nesprin 2,"to determine whether the acetylated tubulin network influences
HMGB2 upregulation.  ","Tubulin acetylation is mediated by the acetyl-
transferase ATAT1 (ref. 31) and deacetylation by HDAC6 (ref. 32). ... HDAC6 inhibitor tubacin33","We modulated tubulin dynamics and acetylation state in confined
cells ... We first treated A375 cells with the HDAC6 inhibitor tubacin33,"
mechanical,Q1.1,HMGB2 upregulation requires nesprin 2,"To stabilize MTs independent of acetylation,  ","which binds β-tubulin and prevents tubulin
monomer incorporation into MT filaments and thus should not
influence the acetylation state of HMGB2 or other proteins34.","we treated confined cells
with paclitaxel (Taxol), "
mechanical,Q2.4,HMGB2 upregulation requires nesprin 2,"Taxol
(100 nM) significantly increased HMGB2 accumulation in confined
cells (P = 0.00230; Extended Data Fig. 9g,h), with an accumulation
rate remarkably similar to tubacin-treated cells (0.338 ± 0.0425-fold
per hour versus 0.353 ± 0.0364-fold per hour; P = 0.961; Extended Data
Fig. 9i). ",,"Although we cannot rule out off-target effects of tubacin on
HMGB2, similar results in Taxol-treated and tubacin-treated cells indi-
cate that confinement-induced HMGB2 enrichment is linked to MT
stability, rather than acetylation state or other HDAC6 functions."
mechanical,Q1.2,HMGB2 upregulation requires nesprin 2,"To confirm the role of perinuclear acetylated tubulin in mediating
HMGB2 accumulation  ","Nocodazole abolishes most MT
networks, with the exception of stabilized acetylated tubulin filaments24.","we treated A375[HMGB2–GFP] cells with noco-
dazole before applying confinement."
mechanical,Q2.4,HMGB2 upregulation requires nesprin 2,"We quantified HMGB2 accumulation in confined A375–
ATAT1KO cells lacking acetylated tubulin (Extended Data Fig. 3c–e). Unexpectedly, HMGB2 accumulation was not impaired in ATAT1KO
cells (Extended Data Fig. 3f),",,"suggesting that acetylated tubulin is
sufficient but not necessary for the enrichment of HMGB2 in response
to confinement."
mechanical,Q1.1,HMGB2 upregulation requires nesprin 2,"Thus, we investigated other factors that may cooperate with the MT
cytoskeleton to promote upregulation of HMGB2 in confined cells",TurboID35,"using
TurboID35 to perform proximity labelling proteomics targeting HMGB2
interactors (Fig. 3l and Supplementary Table 4)."
mechanical,Q2.4,HMGB2 upregulation requires nesprin 2,"One highly enriched
protein was nesprin 2 (gene name: SYNE2) ... (Fig. 3m and Supplemen-
tary Table 4). ","a component of the linker
of nucleoskeleton and cytoskeleton (LINC) complex that connects the
cytoskeleton, nuclear lamina and chromatin36","We hypothesized that nesprin 2 may be required for enrich-
ment of HMGB2 upon confinement."
mechanical,Q2.3,HMGB2 upregulation requires nesprin 2,"Accordingly, confined A375 cells
upregulated nesprin 2 (Extended Data Fig. 10a,b), and targeting SYNE2
with short interfering RNA (siRNA) (Extended Data Fig. 10c) abolished
the confinement-mediated accumulation of HMGB2 (Fig. 3n,o) and
perinuclear tubulin network (Fig. 3p,q).",,"This indicates that nesprin 2
and the tubulin cytoskeleton interact to upregulate HMGB2."
mechanical,Q2.3,HMGB2 upregulation requires nesprin 2,"One highly enriched
protein was nesprin 2 (gene name: SYNE2), a component of the linker
of nucleoskeleton and cytoskeleton (LINC) complex that connects the
cytoskeleton, nuclear lamina and chromatin36","The LINC complex cooperates with the nuclear lamina to tune
nuclear stiffness36. ",N/A
mechanical,Q2.4,HMGB2 upregulation requires nesprin 2,"Lamin A/C increased by approximately 3-fold in
confined cells (P = 1.28 × 10−162; Extended Data Fig. 10d,e)",,"suggesting that the nuclear lamina was remodelled in response to confinement,  "
mechanical,Q1.2,HMGB2 upregulation requires nesprin 2,suggesting that the nuclear lamina was remodelled in response to confinement,,which we validated by means of atomic force microscopy (AFM)
