paper,subsection,type,main_content,context,outcome
mechanical,Confinement remodels the cytoskeleton,Q2.3,"However, most MTs in confined and
unconfined A375 cells were highly tyrosinated (Extended Data Fig. 4a–d), ...
Although confined perinuclear MTs were occasionally
tyrosinated and rarely detyrosinated (Extended Data Fig. 4a–d), there
was no specific enrichment of these PTMs in the perinuclear network,
as observed for acetylated MTs. Similar results were observed for poly-
glutamylated MTs (Extended Data Fig. 4e,f). No polyglycylated MTs
were found in either condition (Extended Data Fig. 4g,h).","Detyrosination
has been linked to stabilized MTs26 ... probably owing to the high concentrations of tyrosine and tyrosinase in melanoma27","This indicates
that acetylation is the primary PTM mediating the assembly and/or
stability of the perinuclear tubulin network."
mechanical,HMGB2 upregulation requires nesprin 2,Q1.1,"to determine whether the acetylated tubulin network influences
HMGB2 upregulation.  ","Tubulin acetylation is mediated by the acetyl-
transferase ATAT1 (ref. 31) and deacetylation by HDAC6 (ref. 32). ","We modulated tubulin dynamics and acetylation state in confined
cells ... We first treated A375 cells with the HDAC6 inhibitor tubacin33,"
mechanical,HMGB2 upregulation requires nesprin 2,Q1.1,"To stabilize MTs independent of acetylation,  ","which binds β-tubulin and prevents tubulin
monomer incorporation into MT filaments and thus should not
influence the acetylation state of HMGB2 or other proteins34.","we treated confined cells
with paclitaxel (Taxol), "
mechanical,HMGB2 upregulation requires nesprin 2,Q1.1,"To confirm the role of perinuclear acetylated tubulin in mediating
HMGB2 accumulation  ","Nocodazole abolishes most MT
networks, with the exception of stabilized acetylated tubulin filaments24.","we treated A375[HMGB2–GFP] cells with noco-
dazole before applying confinement."
mechanical,HMGB2 targets plasticity-associated loci,Q2.4,"Homer de novo motif analysis
identified conserved transcription factor binding motifs enriched within the promoter of open chromatin regions upon HMGB2 overex-
pression (HMGB2OE). The top-ranked motif was an AP-1 motif (Fig. 4k;
P = 1 × 10−49) ...
Other highly ranked motifs included PRDM4, ... (Fig. 4k; P = 1 × 10−12), and SOX9, ... (Fig. 4k; P = 1 × 10−11).","implicated in melanoma and melanocyte plasticity40,41... which functions in neural
development42 ... a critical regulator of
the pro-invasive phenotype switch in melanoma43","These data indicate that HMGB2 upregulation increases chromatin
accessibility at loci associated with plasticity and a neuronal pheno-
type, promoting a confinement-induced dedifferentiation program."
mechanical,HMGB2 targets plasticity-associated loci,Q1.1,To clarify potential HMGB2 targets,a double-crosslinking approach44,"we performed chromatin immu-
noprecipitation (ChIP) sequencing (ChIP–seq) targeting HMGB2 in
A375 cells using a double-crosslinking approach44 (Extended Data
Fig. 11a). We generated a peak atlas by comparing peaks present in cells
expressing baseline concentrations of HMGB2 to those not present in
HMGB2KO cells"
mechanical,HMGB2 drives invasion through Notch and BRN2,Q2.4,"HMGB2 robustly
bound the promoter of Notch signalling genes in both A375 (Extended
Data Fig. 11d and Supplementary Table 6) and SKMEL5 (Extended Data
Fig. 12d and Supplementary Table 8) cells. Notch family genes were also
upregulated by human interface cells (DLL1, DLL3 and DLK2; Supple-
mentary Table 1) and confined human melanoma cells (NOTCH2NLA,
DLK2 and DLL4; Supplementary Table 2). ","Notch signalling promotes
melanoma invasion through brain-2 (BRN2, also known as POU3F2)
(ref. 48), a well-characterized pro-invasive transcription factor in mela-
noma49 that also functions in neuronal development50. ","This indicates that invasive and neuronal phenotypes in confined interface cells are
induced by HMGB2-mediated upregulation of Notch/BRN2 signal-
ling. "
mechanical,HMGB2 mediates phenotype switching,Q1.1,"Confined A375 cells downregulated many proliferation-related pathways. To visualize the influence of confinement on this trade-off,",FastFUCCI cell cycle sensor54,"we generated
an A375 cell line stably expressing the FastFUCCI cell cycle sensor54."
mechanical,HMGB2 is associated with drug tolerance,Q2.4,"Unconfined
cells rapidly displayed fragmented nuclear morphology and underwent
apoptosis, whereas confined cells were almost completely resistant
to Taxol-induced cell death (Extended Data Fig. 13d).","Taxol induces
cancer cell death through cell cycle arrest60","indicating that confine-
ment may cause melanoma cells to exit the cell cycle"
taurine,Temporal changes in leukaemia niche,Q1.1,"To define temporal changes in non-immune bone marrow micro-
environment populations during myeloid leukaemia progression",which can grow in unirradiated mouse recipients ,"we used bcCML LSCs...(Extended Data Fig. 1a,b). Bone marrow stromal populations
(leukaemia−CD45−TER119−) were isolated from leukaemic cohorts at
distinct stages of disease progression and analysed using scRNA-seq
(Fig. 1a). "
taurine,Ligand–receptor interactome,Q1.1,"This identified 13 cell surface signals common to both bcCML and AML, 18 unique to AML and 7 unique to bcCML. Of these 38 genes, 16 were misannotated as cell surface in the reference dataset19 and were removed from further analysis (Methods and Extended Data Fig. 2c,d). ... to identify ligands for these receptors, ",especially those that were significantly upregulated in our TME scRNA-seq data and in the human AML immune microenvironment20 ,We used NicheNet and the published literature ... (Extended Data Fig. 2e).
taurine,TAUT loss impairs leukaemogenesis,Q1.1,To determine whether TAUT has a functional role in leukaemia progression  ,"While Slc6a6-knockout mice are born at Mendelian ratios, they can develop ageing-related defects in bone mass and retinal degeneration25–27.","we used global Slc6a6-knockout mice25 (Fig. 3a,b)."
taurine,TAUT loss impairs leukaemogenesis,Q2.2,"These results suggest that, while TAUT loss does not impair steady-state haematopoiesis, it can impact long-term HSC self-renewal and maintenance.","These data are consistent with previous studies showing that genetic loss of LSC-enriched genes such as CD981, STAU26, MSI228,29, BRD430 and BCL231 can impair HSC self-renewal. However, therapeutic inhibition of CD98 showed minimal toxicity in AML phase I trials1 and BCL2 inhibitors are approved for AML therapy. ",It is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for TAUT targeting in human cells.
taurine,TAUT is essential for human AML growth,Q2.4,"Our analyses of available gene expression datasets indicate that SLC6A6 expression is enriched in leukaemia stem/progenitors as compared to more mature blasts (Extended Data Fig. 8a). While SLC6A6 is broadly expressed in AML irrespective of karyotype or FAB subtype (TCGA; Extended Data Fig.8b), increased expression correlates with venetoclax resistance (BEAT-AML; Fig. 4a). SLC6A6 expression is also enriched in reactive oxygen species (ROS)-low LSCs from human monocytic AMLs (subtype clinically associated with venetoclax resistance; CD45bright SSChighCD117−CD11b+CD68+) compared with primitive AML (Fig. 4b; CD45medSSClowCD117+CD11b−CD68−)32. We find increased SLC6A6 expression in leukaemia cells carrying RAS mutations as compared to wild-type cells, ... (Fig. 4c). SLC6A6 is also highly expressed in relapsed AML originating from stem/progenitor like cells compared with more committed populations34 (Extended Data Fig. 8c). ",...consistent with data correlating RAS mutations with venetoclax resistance33 ,"These data collectively indicate that inhibiting SLC6A6 may be of value across AML subtypes, including those commonly associated with venetoclax resistance."
taurine,TAUT is essential for human AML growth,Q1.1,"To determine whether small-molecule inhibitors of TAUT can effectively block leukaemia growth,","6-aminomethyl3-methyl-4H-1,2,4-benzothiadiazine-1,1-dioxide hydrochloride35 (TAG) and guanidinoethyl sulphonate36 (GES; ","we used two well-characterized structural analogues of taurine that inhibit uptake: 6-aminomethyl3-methyl-4H-1,2,4-benzothiadiazine-1,1-dioxide hydrochloride35 (TAG) and guanidinoethyl sulphonate36 (GES; Extended Data Fig.8d,e)."
taurine,Taurine drives glycolysis in leukaemia,Q2.4,"Our untargeted metabolomic approach identified 13C label only in known taurine conjugates, N-acetyl taurine and glutaurine (Extended Data Fig.10f,g). Membrane-permeable taurine fully rescued colonies formed by Slc6a6−/− cells (Fig. 5g), and N-acetyl-taurine partly rescued this defect (Extended Data Fig.10h), ...  By contrast, glutaurine was unable to rescue the Slc6a6−/− colony formation (Extended Data Fig.10i). ",perhaps by breakdown to taurine and acetate37.,"These experiments indicate that taurine, and not a secondary metabolite, promotes leukaemia growth due to an indirect effect on glycolysis, possibly through downstream signalling."
taurine,Taurine drives glycolysis in leukaemia,Q1.1,We hypothesized that taurine may activate mTOR by promoting its interaction with RAG GTPases.,"Amino acid availability can be sensed by RAG GTPases to facilitate mTORC1 localization to the outer lysosomal membrane40 and its interaction with RHEB GTPases41, thereby promoting mTORC1 activation.","To test this, we determined the effect of expressing constitutively active RAGA(Q66L) or RHEB(Q64L) on the colony-forming ability of Slc6a6 wild-type and null cells. ... Finally, we directly tested whether taurine could promote mTOR interactions with lysosomes in wild-type and Slc6a6−/− leukaemia cells expressing RAGA(Q66L) (Fig. 5q)."
ultrasensitive,Pre-analytical factors affecting cfRNA,Q2.4,"we observed that cfRNA is highly frag
mented and does not contain detectable 18S and 28S rRNA peaks 
(Extended Data Fig. 1a), ","As previously described1,8,11, ",indicating high levels of degradation. 
breast_cancer,Key mutational signatures,Q2.4,"Individuals with HRD (n = 66) exhibited significantly superior disease-free survival compared with those with homologous recombination DNA repair-proficient (HRP) cancer (hazard ratio 0.10, 95% confidence interval 0.02–0.54; P = 0.006; Fig. 2f); ","this difference was more pronounced than in a previous study with a targeted panel-based assay28, ",highlighting the potential of WGS for more specific clinical evaluation of HRD.
breast_cancer,Key mutational signatures,Q2.3,"the population allele frequency of the germline deletion was 31.8% in our cohort (present in 736 individuals, 131 being homozygous and 605 heterozygous; Fig. 2g and Extended Data Fig. 4b), ... the deletion was not substantially enriched in patients with breast cancer compared with the background Korean population (51.0%, 844 out of 1,654 individuals, with 150 being homozygous and 694 heterozygous; P = 0.276 by two-sided chi-square test; Fig. 2g), ","Contrary to previous reports30,31, ",suggesting that it is not a strong cancer-predisposing germline variant.
breast_cancer,Frequently rearranged genes,Q1.1,"To determine the structural variation landscape, ","A key mutational process in cancer is structural variation, which acts to amplify, delete or reorder chromosomal material at scales that range from single genes to entire chromosomes32","we generated a DNA interaction map between 5-Mb segments across the entire genome (Fig. 3a), along with large-scale copy number amplification patterns (CNAs; G-score)."
breast_cancer,Frequently rearranged genes,Q2.4,"Another frequent interchromosomal translocation involved the ERBB2 locus on chromosome 17 and a locus on chromosome 20 (observed in 30 participants), ... (Fig. 3a, top right). ... structural variations involving the ERBB2 locus were clustered with super-enhancers genome-wide (P = 0.028 by permutation test; Fig. 3b), which translocated super-enhancers in about 90 kb from the ERBB2 locus (Fig. 3c). Tumours with extragenic structural variants in the vicinity (within 1 Mb) showed significantly higher ERBB2 gene expression levels than their gene copy number (log2 fold change >1, q-value <0.10; Fig. 3d). They often carried extragenic structural variants in the vicinity (within 1 Mb) with a cancer cell fraction (CCF) of approximately 1 (Fig. 3e), and distal breakpoints significantly enriched near breast cancer-specific super-enhancers35 (Fig. 3f).","where breast cancer super-enhancers were enriched35 ... Structural variations can influence  transcription by disrupting enhancer–promoter interactions, chromatin topology and long-range regulatory elements36. In line with this idea, ",Our observation overall suggests a possible enhancer-hijacking mechanism for transcriptional activation in breast cancer genomes.
breast_cancer,Clinical effect of ERBB2 focal gain,Q2.4,"Notably, in our cohort, tumours with ERBB2  copy number of 33 or more were significantly more likely to be ecDNA-positive (P = 0.003; Fig. 4f, right); however, ERBB2 amplification by ecDNA was not associated with pCR rates (P = 0.540). ","Of note, ecDNA is generally associated with poor prognosis across multiple cancer types47.","Our observation suggests that absolute copy number. rather than the amplification mechanism, may be a more relevant predictor of therapeutic response. It also indicates that ERBB2-amplifying ecDNA may be an actionable target for anti-HER2 therapy."
breast_cancer,Long-segmental copy number gains,Q2.4,"The timing analysis with the burden of co-amplified, pre-amplification somatic base substitutions yielded the acquisition timing of the frequent long-segmental CNAs in breast cancer in molecular time49 (Extended Data Fig. 10). Most of the recurrent long-segmental CNAs were acquired by 20% of molecular time, when recent common ancestral cells of a cancer emerge, which should be decades earlier than tumour diagnosis. ","which is presumably acquired in early puberty, consistent with a previous report50","This implies that acquisition of the long-segmental CNAs is an early evolutionary event in breast cancer, .... Our findings also suggest that full neoplastic transformation can take decades from the first event of genomic instability."
