main_content,context,outcome
to determine the impact of inhibiting TAUT expression on human AML growth.,Established biological and experimental principles relevant to to determine the impact of inhibiting taut expression on human aml growth. suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.,"Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test to determine the impact of inhibiting taut expression on human aml growth.."
"These data indicate that taurine inhibitors can synergize with venetoclax in blocking the growth of human AML cells (Fig. 4f–h). ... Knocking down SLC6A6 expression using two independent shRNAs significantly impaired taurine uptake by 2.2 to 3.4-fold, as well as the colony-forming ability of human bcCML, AML and MDS cell lines by 2- to 12-fold (Extended Data Fig. 9k–p). Our experiments showed that SLC6A6 knockdown in samples from patients with AML reduced their colony-forming ability by 2.33- to 9.12-fold as compared to the controls (Fig. 4i). By contrast, SLC6A6 knockdown did not impact colonies formed by normal human CD34+ HSPCs (Fig. 4j). Importantly, while SLC6A6 knockdown reduced the engraftment of primary AML cells by 1.2- to 40-fold in patient-derived xenograft models (Fig. 4k,l), it did not significantly impair engraftment of normal human CD34+ HSPCs in xenograft models (Fig. 4m). ","It is well established in biology that observations like these data indicate that taurine inhibitors can synergize with venetoclax in blocking the growth of human aml cells (fig. 4f–h). ... knocking down slc6a6 expression using two independent shrnas significantly impaired taurine uptake by 2.2 to 3.4-fold, as well as the colony-forming ability of human bccml, aml and mds cell lines by 2- to 12-fold (extended data fig. 9k–p). our experiments showed that slc6a6 knockdown in samples from patients with aml reduced their colony-forming ability by 2.33- to 9.12-fold as compared to the controls (fig. 4i). by contrast, slc6a6 knockdown did not impact colonies formed by normal human cd34+ hspcs (fig. 4j). importantly, while slc6a6 knockdown reduced the engraftment of primary aml cells by 1.2- to 40-fold in patient-derived xenograft models (fig. 4k,l), it did not significantly impair engraftment of normal human cd34+ hspcs in xenograft models (fig. 4m).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to these data indicate that taurine inhibitors can synergize with venetoclax in blocking the growth of human aml cells (fig. 4f–h). ... knocking down slc6a6 expression using two independent shrnas significantly impaired taurine uptake by 2.2 to 3.4-fold, as well as the colony-forming ability of human bccml, aml and mds cell lines by 2- to 12-fold (extended data fig. 9k–p). our experiments showed that slc6a6 knockdown in samples from patients with aml reduced their colony-forming ability by 2.33- to 9.12-fold as compared to the controls (fig. 4i). by contrast, slc6a6 knockdown did not impact colonies formed by normal human cd34+ hspcs (fig. 4j). importantly, while slc6a6 knockdown reduced the engraftment of primary aml cells by 1.2- to 40-fold in patient-derived xenograft models (fig. 4k,l), it did not significantly impair engraftment of normal human cd34+ hspcs in xenograft models (fig. 4m). , indicating a potential underlying mechanism or state transition."
"To establish the mechanisms by which taurine uptake in leukaemia cells promotes disease progression, ","Established biological and experimental principles relevant to to establish the mechanisms by which taurine uptake in leukaemia cells promotes disease progression,  suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.","Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test to establish the mechanisms by which taurine uptake in leukaemia cells promotes disease progression, ."
"Our untargeted metabolomic analysis of mouse LSCs identified significant downregulation of glycolysis/TCA related pathways and metabolites such as pyruvate, glyceraldehyde-3-phosphate and 3-phosphoglycerate in Slc6a6−/− cells, ... (Fig. 5a–c and Extended Data Fig. 10a). ","It is well established in biology that observations like our untargeted metabolomic analysis of mouse lscs identified significant downregulation of glycolysis/tca related pathways and metabolites such as pyruvate, glyceraldehyde-3-phosphate and 3-phosphoglycerate in slc6a6−/− cells, ... (fig. 5a–c and extended data fig. 10a).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our untargeted metabolomic analysis of mouse lscs identified significant downregulation of glycolysis/tca related pathways and metabolites such as pyruvate, glyceraldehyde-3-phosphate and 3-phosphoglycerate in slc6a6−/− cells, ... (fig. 5a–c and extended data fig. 10a). , indicating a potential underlying mechanism or state transition."
"Consistent with this, we noted a 1.3- to 1.8-fold reduction in basal glycolysis, glycolytic capacity, maximal oxygen consumption and spare respiratory capacity in Slc6a6−/− LSCs as compared to the controls (Fig. 5d,e and Extended Data Fig.10b).","It is well established in biology that observations like consistent with this, we noted a 1.3- to 1.8-fold reduction in basal glycolysis, glycolytic capacity, maximal oxygen consumption and spare respiratory capacity in slc6a6−/− lscs as compared to the controls (fig. 5d,e and extended data fig.10b). can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to consistent with this, we noted a 1.3- to 1.8-fold reduction in basal glycolysis, glycolytic capacity, maximal oxygen consumption and spare respiratory capacity in slc6a6−/− lscs as compared to the controls (fig. 5d,e and extended data fig.10b)., indicating a potential underlying mechanism or state transition."
"To functionally test the role of glycolysis and TCA associated metabolites, ","Established biological and experimental principles relevant to to functionally test the role of glycolysis and tca associated metabolites,  suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.","Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test to functionally test the role of glycolysis and tca associated metabolites, ."
"Our experiments showed that the colony-forming ability of Slc6a6−/− LSCs could be significantly rescued by pyruvate, sodium acetate and lactate, but not glucagon (Fig. 5f and Extended Data Fig.10c–e). ","It is well established in biology that observations like our experiments showed that the colony-forming ability of slc6a6−/− lscs could be significantly rescued by pyruvate, sodium acetate and lactate, but not glucagon (fig. 5f and extended data fig.10c–e).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our experiments showed that the colony-forming ability of slc6a6−/− lscs could be significantly rescued by pyruvate, sodium acetate and lactate, but not glucagon (fig. 5f and extended data fig.10c–e). , indicating a potential underlying mechanism or state transition."
We next tested whether taurine contributed to any cellular metabolite ,Established biological and experimental principles relevant to we next tested whether taurine contributed to any cellular metabolite  suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.,"Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test we next tested whether taurine contributed to any cellular metabolite ."
"Our untargeted metabolomic approach identified 13C label only in known taurine conjugates, N-acetyl taurine and glutaurine (Extended Data Fig.10f,g). Membrane-permeable taurine fully rescued colonies formed by Slc6a6−/− cells (Fig. 5g), and N-acetyl-taurine partly rescued this defect (Extended Data Fig.10h), ...  By contrast, glutaurine was unable to rescue the Slc6a6−/− colony formation (Extended Data Fig.10i). ","It is well established in biology that observations like our untargeted metabolomic approach identified 13c label only in known taurine conjugates, n-acetyl taurine and glutaurine (extended data fig.10f,g). membrane-permeable taurine fully rescued colonies formed by slc6a6−/− cells (fig. 5g), and n-acetyl-taurine partly rescued this defect (extended data fig.10h), ...  by contrast, glutaurine was unable to rescue the slc6a6−/− colony formation (extended data fig.10i).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our untargeted metabolomic approach identified 13c label only in known taurine conjugates, n-acetyl taurine and glutaurine (extended data fig.10f,g). membrane-permeable taurine fully rescued colonies formed by slc6a6−/− cells (fig. 5g), and n-acetyl-taurine partly rescued this defect (extended data fig.10h), ...  by contrast, glutaurine was unable to rescue the slc6a6−/− colony formation (extended data fig.10i). , indicating a potential underlying mechanism or state transition."
"To identify signals downstream of taurine, ","Established biological and experimental principles relevant to to identify signals downstream of taurine,  suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.","Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test to identify signals downstream of taurine, ."
"The 932 downregulated genes primarily constituted pathways associated with glycolysis (Fig. 5i and Extended Data Fig.11b–d), ... (Fig. 5c).","It is well established in biology that observations like the 932 downregulated genes primarily constituted pathways associated with glycolysis (fig. 5i and extended data fig.11b–d), ... (fig. 5c). can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to the 932 downregulated genes primarily constituted pathways associated with glycolysis (fig. 5i and extended data fig.11b–d), ... (fig. 5c)., indicating a potential underlying mechanism or state transition."
"To determine effectors of glycolytic downregulation on TAUT loss, ","Established biological and experimental principles relevant to to determine effectors of glycolytic downregulation on taut loss,  suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.","Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test to determine effectors of glycolytic downregulation on taut loss, ."
This identified profound downregulation of oncogenic MYC and mTOR pathways (Fig. 5j and Extended Data Fig. 11c).,It is well established in biology that observations like this identified profound downregulation of oncogenic myc and mtor pathways (fig. 5j and extended data fig. 11c). can be interpreted using known molecular or cellular mechanisms and established scientific principles.,"This suggests a biologically meaningful change or implication related to this identified profound downregulation of oncogenic myc and mtor pathways (fig. 5j and extended data fig. 11c)., indicating a potential underlying mechanism or state transition."
"Western blot analysis showed that TAUT loss results in a 2.2- to 3-fold reduction in activated mTOR, p70S6k and pEIF4B as compared to the controls (Fig. 5k–m and Extended Data Fig. 11e). Our global phosphoproteome and total-proteome analyses also showed reduced expression of phosphorylated proteins associated with mTOR signalling, as well as 3.3-fold reduced BCL2 and 1.5-fold increased LC3A expression in the absence of TAUT (Extended Data Fig. 11f,g). Like TAUT loss, TAUT inhibition with TAG and GES downregulated glycolysis-related gene expression (Extended Data Fig.11h,i) and impaired phosphorylation of mTOR signalling (Extended Data Fig. 12a,b). Consistent with a direct impact of taurine on mTOR signalling, acute treatment in vitro and long-term taurine dosing in vivo could activate mTOR signalling (Extended Data Fig.12c–h). Inhibiting mTOR with rapamycin impaired the growth of wild-type cells but did not impact Slc6a6−/− cells in vitro or invivo (Fig. 5n and Extended Data Fig.12i,k). By contrast, mTOR activation with MHY148539 rescued the colony-forming ability of Slc6a6−/− LSCs to 60% of the control, and membrane-permeable taurine rescued mTOR activation (Fig. 5o and Extended Data Fig. 12j–l).","It is well established in biology that observations like western blot analysis showed that taut loss results in a 2.2- to 3-fold reduction in activated mtor, p70s6k and peif4b as compared to the controls (fig. 5k–m and extended data fig. 11e). our global phosphoproteome and total-proteome analyses also showed reduced expression of phosphorylated proteins associated with mtor signalling, as well as 3.3-fold reduced bcl2 and 1.5-fold increased lc3a expression in the absence of taut (extended data fig. 11f,g). like taut loss, taut inhibition with tag and ges downregulated glycolysis-related gene expression (extended data fig.11h,i) and impaired phosphorylation of mtor signalling (extended data fig. 12a,b). consistent with a direct impact of taurine on mtor signalling, acute treatment in vitro and long-term taurine dosing in vivo could activate mtor signalling (extended data fig.12c–h). inhibiting mtor with rapamycin impaired the growth of wild-type cells but did not impact slc6a6−/− cells in vitro or invivo (fig. 5n and extended data fig.12i,k). by contrast, mtor activation with mhy148539 rescued the colony-forming ability of slc6a6−/− lscs to 60% of the control, and membrane-permeable taurine rescued mtor activation (fig. 5o and extended data fig. 12j–l). can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to western blot analysis showed that taut loss results in a 2.2- to 3-fold reduction in activated mtor, p70s6k and peif4b as compared to the controls (fig. 5k–m and extended data fig. 11e). our global phosphoproteome and total-proteome analyses also showed reduced expression of phosphorylated proteins associated with mtor signalling, as well as 3.3-fold reduced bcl2 and 1.5-fold increased lc3a expression in the absence of taut (extended data fig. 11f,g). like taut loss, taut inhibition with tag and ges downregulated glycolysis-related gene expression (extended data fig.11h,i) and impaired phosphorylation of mtor signalling (extended data fig. 12a,b). consistent with a direct impact of taurine on mtor signalling, acute treatment in vitro and long-term taurine dosing in vivo could activate mtor signalling (extended data fig.12c–h). inhibiting mtor with rapamycin impaired the growth of wild-type cells but did not impact slc6a6−/− cells in vitro or invivo (fig. 5n and extended data fig.12i,k). by contrast, mtor activation with mhy148539 rescued the colony-forming ability of slc6a6−/− lscs to 60% of the control, and membrane-permeable taurine rescued mtor activation (fig. 5o and extended data fig. 12j–l)., indicating a potential underlying mechanism or state transition."
We hypothesized that taurine may activate mTOR by promoting its interaction with RAG GTPases.,Established biological and experimental principles relevant to we hypothesized that taurine may activate mtor by promoting its interaction with rag gtpases. suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.,"Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test we hypothesized that taurine may activate mtor by promoting its interaction with rag gtpases.."
"Our experiments showed that, while RHEB(Q64L) partially rescued Slc6a6−/− colony formation, this could be fully rescued by RAGA(Q66L) (Fig. 5p). Furthermore, mTOR phosphorylation in Slc6a6−/− cells could be rescued by RAGA(Q66L) (Extended Data Fig. 12m). ... Our immunofluorescence-based analysis showed that, at the baseline, Slc6a6−/− cells have 1.2-fold lower mTOR–LAMP1 interaction, which could be fully rescued by RAGA(Q66L). Taurine supplements increased mTOR–LAMP1 co-localization to levels seen in cells expressing RAGA(Q66L). However, this interaction could not be increased further by adding taurine to RAGA(Q66L)-expressing cells (Fig. 5r,s), ","It is well established in biology that observations like our experiments showed that, while rheb(q64l) partially rescued slc6a6−/− colony formation, this could be fully rescued by raga(q66l) (fig. 5p). furthermore, mtor phosphorylation in slc6a6−/− cells could be rescued by raga(q66l) (extended data fig. 12m). ... our immunofluorescence-based analysis showed that, at the baseline, slc6a6−/− cells have 1.2-fold lower mtor–lamp1 interaction, which could be fully rescued by raga(q66l). taurine supplements increased mtor–lamp1 co-localization to levels seen in cells expressing raga(q66l). however, this interaction could not be increased further by adding taurine to raga(q66l)-expressing cells (fig. 5r,s),  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our experiments showed that, while rheb(q64l) partially rescued slc6a6−/− colony formation, this could be fully rescued by raga(q66l) (fig. 5p). furthermore, mtor phosphorylation in slc6a6−/− cells could be rescued by raga(q66l) (extended data fig. 12m). ... our immunofluorescence-based analysis showed that, at the baseline, slc6a6−/− cells have 1.2-fold lower mtor–lamp1 interaction, which could be fully rescued by raga(q66l). taurine supplements increased mtor–lamp1 co-localization to levels seen in cells expressing raga(q66l). however, this interaction could not be increased further by adding taurine to raga(q66l)-expressing cells (fig. 5r,s), , indicating a potential underlying mechanism or state transition."
